Type,Trans Date,Post Date,Description,Amount
SALE,10/06/2015,10/08/2015,"STONE OVEN BAKERY",-13.88
SALE,09/12/2015,09/13/2015,"CLEVELAND HEIGHTS UNIVERS",-5.00
SALE,11/03/2015,11/04/2015,"AT&T*BILL PAYMENT",-335.59
SALE,10/13/2015,10/14/2015,"SQ *PHOENIX COFFEE COMPAN",-5.50
SALE,10/16/2015,10/18/2015,"HIGH THAI D",-13.90
SALE,09/02/2015,09/03/2015,"TAZA",-86.90
SALE,09/06/2015,09/07/2015,"USA*PRIORITY VENDING",-2.60
SALE,08/28/2015,08/30/2015,"SQ *PHOENIX COFFEE COMPAN",-7.05
SALE,08/25/2015,08/26/2015,"HIGH THAI D",-55.57
SALE,09/29/2015,10/01/2015,"LOVE S COUNTRY00002212",-22.53
SALE,09/05/2015,09/06/2015,"SQ *PHOENIX COFFEE COMPAN",-16.80
SALE,09/18/2015,09/20/2015,"SQ *PHOENIX COFFEE COMPAN",-2.30
SALE,09/02/2015,09/04/2015,"MENCHIE`S FROZEN YOGURT",-6.81
SALE,08/08/2015,08/09/2015,"CHIPOTLE 1762",-10.72
SALE,08/10/2015,08/11/2015,"ENTERPRISE RENT-A-CAR",-345.95
SALE,10/12/2015,10/13/2015,"SQ *PHOENIX COFFEE COMPAN",-13.90
SALE,08/31/2015,09/01/2015,"SQ *PHOENIX COFFEE COMPAN",-3.00
SALE,09/19/2015,09/20/2015,"AT&T*BILL PAYMENT",-518.64
SALE,11/09/2015,11/11/2015,"JENIS SPLENDID ICE CRE",-8.00
SALE,11/03/2015,11/05/2015,"CLEVE CLINIC MAIN",-10.00
SALE,08/13/2015,08/14/2015,"SQ *PHOENIX COFFEE COMPAN",-3.45
SALE,08/18/2015,08/19/2015,"WHOLEFDS CTR 10199",-25.55
SALE,08/31/2015,09/01/2015,"BEST BUY      00002717",-97.18
SALE,08/22/2015,08/23/2015,"SQ *PHOENIX COFFEE COMPAN",-4.75
SALE,10/19/2015,10/20/2015,"NH MILANO TOURING     216",-20.56
SALE,08/19/2015,08/20/2015,"SQ *PHOENIX COFFEE COMPAN",-4.75
SALE,10/21/2015,10/22/2015,"CHIPOTLE 0079",-10.39
SALE,08/18/2015,08/19/2015,"SQ *PHOENIX COFFEE COMPAN",-4.75
SALE,09/17/2015,09/18/2015,"TRADER JOE'S #676  QPS",-167.11
SALE,09/15/2015,09/16/2015,"WAYFAIR*Joss & Main",-36.90
SALE,08/24/2015,08/26/2015,"UNITED      0162922793323",-7.99
SALE,08/16/2015,08/18/2015,"CEDAR LEE THEATRE",-20.50
SALE,09/22/2015,09/23/2015,"SQ *PHOENIX COFFEE COMPAN",-2.00
SALE,09/11/2015,09/13/2015,"USA*PRIORITY VENDING",-2.60
SALE,09/13/2015,09/15/2015,"JOHNNY MANGO WORLD CAF",-35.15
SALE,09/19/2015,09/20/2015,"SQ *PHOENIX COFFEE COMPAN",-10.30
PAYMENT,09/27/2015,09/27/2015,"Payment Thank You - Web",3054.87
SALE,11/11/2015,11/12/2015,"TST* DAILY - EDGEWATER",-19.02
SALE,10/10/2015,10/12/2015,"NIGHTTOWN",-76.72
SALE,10/26/2015,10/27/2015,"RESTAURANT L'OSTERIA",-15.11
SALE,10/04/2015,10/06/2015,"SHELL OIL 57424318004",-24.76
SALE,10/18/2015,10/19/2015,"CVS/PHARMACY #07687",-23.16
SALE,09/22/2015,09/23/2015,"USPS CHANGE OF66100959",-1.05
SALE,08/13/2015,08/16/2015,"THE WINE SPOT",-26.98
SALE,09/10/2015,09/11/2015,"SQ *PHOENIX COFFEE COMPAN",-8.85
SALE,10/20/2015,10/21/2015,"PERGOLA CAFE    4516641",-15.72
SALE,10/17/2015,10/18/2015,"SQ *PHOENIX COFFEE COMPAN",-4.85
SALE,08/17/2015,08/19/2015,"SHELL OIL 57424307908",-25.44
